Player,Squad,Comp,Pos,primary_pos,Age,nineties,Fls,CrdY,CrdR,fouls_per90,card_rate_per90
Robin Le Normand,Real Sociedad,La Liga,DF,DF,26,15.1,1.19,0.26,0.0,1.19,0.26
Gianluca Mancini,Roma,Serie A,DF,DF,26,20.2,1.19,0.2,0.0,1.19,0.2
Sadio Mané,Bayern Munich,Bundesliga,FW,FW,30,10.1,1.19,0.1,0.0,1.19,0.1
Sergej Milinkovi?-Savi?,Lazio,Serie A,MF,MF,27,19.4,1.19,0.36,0.0,1.19,0.36
Éder Militão,Real Madrid,La Liga,DF,DF,25,13.5,1.19,0.07,0.0,1.19,0.07
Julien Ponceau,Lorient,Ligue 1,MF,MF,22,12.6,1.19,0.08,0.0,1.19,0.08
Mohammed Salisu,Southampton,Premier League,DF,DF,23,21.0,1.19,0.24,0.0,1.19,0.24
Anton Stach,Mainz 05,Bundesliga,MF,MF,24,13.4,1.19,0.3,0.0,1.19,0.3
Felipe Anderson,Lazio,Serie A,FW,FW,29,18.7,1.18,0.05,0.0,1.18,0.05
Michael Gregoritsch,Freiburg,Bundesliga,FW,FW,28,16.1,1.18,0.19,0.0,1.18,0.19
Soualiho Meïté,Cremonese,Serie A,MF,MF,28,12.7,1.18,0.39,0.0,1.18,0.39
Sergio Ramos,Paris S-G,Ligue 1,DF,DF,36,17.0,1.18,0.18,0.06,1.18,0.3
Raheem Sterling,Chelsea,Premier League,FWMF,FW,28,12.7,1.18,0.24,0.0,1.18,0.24
Joël Veltman,Brighton,Premier League,DF,DF,31,15.3,1.18,0.13,0.0,1.18,0.13
Vitinha,Paris S-G,Ligue 1,MF,MF,22,15.3,1.18,0.13,0.0,1.18,0.13
Nicolò Barella,Inter,Serie A,MF,MF,26,17.9,1.17,0.22,0.0,1.17,0.22
Jude Bellingham,Dortmund,Bundesliga,MF,MF,19,18.8,1.17,0.27,0.0,1.17,0.27
Kiernan Dewsbury-Hall,Leicester City,Premier League,MF,MF,24,17.1,1.17,0.12,0.0,1.17,0.12
Mattéo Guendouzi,Marseille,Ligue 1,MF,MF,23,16.2,1.17,0.12,0.0,1.17,0.12
Jubal,Auxerre,Ligue 1,DF,DF,29,19.7,1.17,0.2,0.0,1.17,0.2
Adama Soumaoro,Bologna,Serie A,DF,DF,30,13.7,1.17,0.36,0.07,1.17,0.5
Santiago Bueno,Girona,La Liga,DF,DF,24,19.9,1.16,0.2,0.05,1.16,0.3
Jaume Costa,Mallorca,La Liga,DF,DF,34,16.4,1.16,0.3,0.0,1.16,0.3
Odsonne Édouard,Crystal Palace,Premier League,FWMF,FW,25,12.1,1.16,0.25,0.0,1.16,0.25
Julian Jeanvier,Auxerre,Ligue 1,DF,DF,30,13.8,1.16,0.29,0.07,1.16,0.43
Charles Pickel,Cremonese,Serie A,MF,MF,25,15.5,1.16,0.39,0.0,1.16,0.39
Adrien Rabiot,Juventus,Serie A,MF,MF,27,15.5,1.16,0.19,0.0,1.16,0.19
Domingos André Ribeiro Almeida,Valencia,La Liga,MF,MF,22,13.9,1.15,0.14,0.0,1.15,0.14
Ousmane Dembélé,Barcelona,La Liga,FW,FW,25,12.2,1.15,0.33,0.0,1.15,0.33
Ritsu Doan,Freiburg,Bundesliga,FWMF,FW,24,16.5,1.15,0.12,0.0,1.15,0.12
Brennan Johnson,Nott'ham Forest,Premier League,FW,FW,21,20.0,1.15,0.2,0.0,1.15,0.2
João Palhinha,Fulham,Premier League,MF,MF,27,21.7,1.15,0.37,0.0,1.15,0.37
Aaron Ramsey,Nice,Ligue 1,MF,MF,32,11.3,1.15,0.09,0.0,1.15,0.09
Bukayo Saka,Arsenal,Premier League,FW,FW,21,20.0,1.15,0.2,0.0,1.15,0.2
Youri Tielemans,Leicester City,Premier League,MF,MF,25,18.3,1.15,0.16,0.0,1.15,0.16
Kieran Trippier,Newcastle Utd,Premier League,DF,DF,32,21.7,1.15,0.23,0.0,1.15,0.23
Jamie Vardy,Leicester City,Premier League,FW,FW,36,13.1,1.15,0.08,0.0,1.15,0.08
Emanuel Aiwum,Cremonese,Serie A,DF,DF,22,11.4,1.14,0.18,0.0,1.14,0.18
Krépin Diatta,Monaco,Ligue 1,MFFW,MF,23,14.9,1.14,0.2,0.0,1.14,0.2
Niclas Füllkrug,Werder Bremen,Bundesliga,FW,FW,30,18.5,1.14,0.22,0.0,1.14,0.22
Saîf-Eddine Khaoui,Clermont Foot,Ligue 1,MFFW,MF,27,15.8,1.14,0.25,0.0,1.14,0.25
Ivan Rakiti?,Sevilla,La Liga,MF,MF,34,10.5,1.14,0.29,0.1,1.14,0.49
Khéphren Thuram-Ulie,Nice,Ligue 1,MF,MF,21,17.6,1.14,0.11,0.0,1.14,0.11
Walace,Udinese,Serie A,MF,MF,27,20.1,1.14,0.2,0.0,1.14,0.2
Wilfried Zaha,Crystal Palace,Premier League,FWMF,FW,30,18.5,1.14,0.16,0.0,1.14,0.16
Emerson,Tottenham,Premier League,DF,DF,24,13.3,1.13,0.08,0.08,1.13,0.24
Rasmus Højlund,Atalanta,Serie A,FW,FW,20,10.6,1.13,0.09,0.0,1.13,0.09
Lee Jae-sung,Mainz 05,Bundesliga,MF,MF,30,12.4,1.13,0.16,0.0,1.13,0.16
Mathias Jensen,Brentford,Premier League,MF,MF,27,18.6,1.13,0.16,0.0,1.13,0.16
Christopher Jullien,Montpellier,Ligue 1,DF,DF,29,15.9,1.13,0.19,0.0,1.13,0.19
Pasquale Mazzocchi,Salernitana,Serie A,DF,DF,27,13.3,1.13,0.15,0.0,1.13,0.15
Álex Moreno,Betis,La Liga,DF,DF,29,15.0,1.13,0.07,0.0,1.13,0.07
Óscar Rodríguez Arnaiz,Celta Vigo,La Liga,MF,MF,24,13.3,1.13,0.23,0.0,1.13,0.23
Lucas Tousart,Hertha BSC,Bundesliga,MF,MF,25,17.7,1.13,0.0,0.0,1.13,0.0
Maximilian Bauer,Augsburg,Bundesliga,DF,DF,23,11.6,1.12,0.52,0.0,1.12,0.52
Vladimír Coufal,West Ham,Premier League,DF,DF,30,14.3,1.12,0.28,0.0,1.12,0.28
Mikkel Desler,Toulouse,Ligue 1,DF,DF,27,13.4,1.12,0.15,0.07,1.12,0.29
Koffi Djidji,Torino,Serie A,DF,DF,30,16.9,1.12,0.12,0.0,1.12,0.12
Carlos Gruezo,Augsburg,Bundesliga,MF,MF,27,10.7,1.12,0.47,0.0,1.12,0.47
Robert Gumny,Augsburg,Bundesliga,DF,DF,24,14.3,1.12,0.21,0.0,1.12,0.21
Dimitri Liénard,Strasbourg,Ligue 1,DFMF,DF,34,10.7,1.12,0.28,0.0,1.12,0.28
Luka Modri?,Real Madrid,La Liga,MF,MF,37,12.5,1.12,0.32,0.0,1.12,0.32
Matteo Pessina,Monza,Serie A,MF,MF,25,17.0,1.12,0.12,0.0,1.12,0.12
Stefano Sensi,Monza,Serie A,MF,MF,27,10.7,1.12,0.47,0.0,1.12,0.47
Sepe Elye Wahi,Montpellier,Ligue 1,FW,FW,20,17.1,1.11,0.29,0.06,1.11,0.41
Fernando,Sevilla,La Liga,MFDF,MF,35,10.8,1.11,0.19,0.0,1.11,0.19
Remo Freuler,Nott'ham Forest,Premier League,MF,MF,30,16.2,1.11,0.19,0.0,1.11,0.19
Toni Kroos,Real Madrid,La Liga,MF,MF,33,13.5,1.11,0.15,0.07,1.11,0.29
Weston McKennie,Juventus,Serie A,MFDF,MF,24,11.7,1.11,0.0,0.0,1.11,0.0
Thomas Partey,Arsenal,Premier League,MF,MF,29,17.1,1.11,0.12,0.0,1.11,0.12
Rodrigo,Leeds United,Premier League,FWMF,FW,31,14.4,1.11,0.21,0.0,1.11,0.21
Florian Sotoca,Lens,Ligue 1,MFFW,MF,32,19.9,1.11,0.15,0.0,1.11,0.15
Édgar González,Betis,La Liga,DF,DF,25,12.7,1.1,0.39,0.08,1.1,0.55
Cédric Hountondji,Angers,Ligue 1,DF,DF,29,21.9,1.1,0.18,0.0,1.1,0.18
Florian Kainz,Köln,Bundesliga,MFFW,MF,30,14.5,1.1,0.28,0.07,1.1,0.42
Alexis Mac Allister,Brighton,Premier League,MF,MF,24,17.2,1.1,0.35,0.0,1.1,0.35
Marlon,Monza,Serie A,DF,DF,27,11.8,1.1,0.25,0.0,1.1,0.25
Terem Moffi,Lorient,Ligue 1,FW,FW,23,15.4,1.1,0.06,0.0,1.1,0.06
Hamari Traoré,Rennes,Ligue 1,DF,DF,31,18.1,1.1,0.22,0.0,1.1,0.22
Rayan Aït Nouri,Wolves,Premier League,DF,DF,21,10.1,1.09,0.3,0.0,1.09,0.3
Gleison Bremer,Juventus,Serie A,DF,DF,25,17.5,1.09,0.23,0.0,1.09,0.23
Matteo Darmian,Inter,Serie A,DF,DF,33,11.0,1.09,0.18,0.0,1.09,0.18
Iñigo Lekue,Athletic Club,La Liga,DF,DF,29,12.8,1.09,0.08,0.0,1.09,0.08
Arkadiusz Milik,Juventus,Serie A,FW,FW,28,11.0,1.09,0.27,0.09,1.09,0.45
Samuel Moutoussamy,Nantes,Ligue 1,MF,MF,26,12.9,1.09,0.39,0.0,1.09,0.39
Darwin Núñez,Liverpool,Premier League,FW,FW,23,11.0,1.09,0.09,0.09,1.09,0.27
Jacob Ramsey,Aston Villa,Premier League,MF,MF,21,13.7,1.09,0.29,0.0,1.09,0.29
Jerdy Schouten,Bologna,Serie A,MF,MF,26,12.9,1.09,0.16,0.0,1.09,0.16
Sandro Tonali,Milan,Serie A,MF,MF,22,17.4,1.09,0.34,0.0,1.09,0.34
Cengiz Ünder,Marseille,Ligue 1,MFDF,MF,25,13.8,1.09,0.14,0.0,1.09,0.14
Kevin Vogt,Hoffenheim,Bundesliga,DF,DF,31,13.7,1.09,0.44,0.0,1.09,0.44
Iñaki Williams,Athletic Club,La Liga,FW,FW,28,16.5,1.09,0.0,0.0,1.09,0.0
Domingos Duarte,Getafe,La Liga,DF,DF,27,18.5,1.08,0.38,0.0,1.08,0.38
Wataru Endo,Stuttgart,Bundesliga,MF,MF,30,18.5,1.08,0.0,0.0,1.08,0.0
Maxime Estève,Montpellier,Ligue 1,DF,DF,20,14.8,1.08,0.2,0.0,1.08,0.2
R?zvan Marin,Empoli,Serie A,MF,MF,26,16.7,1.08,0.3,0.0,1.08,0.3
Aarón Martín,Mainz 05,Bundesliga,DF,DF,25,15.8,1.08,0.06,0.0,1.08,0.06
Gonzalo Melero,Almería,La Liga,MF,MF,29,12.0,1.08,0.25,0.0,1.08,0.25
Tonny Vilhena,Salernitana,Serie A,MF,MF,28,15.7,1.08,0.25,0.0,1.08,0.25
Fernando Calero,Espanyol,La Liga,DFMF,DF,27,13.1,1.07,0.23,0.0,1.07,0.23
Xavier Chavalerin,Troyes,Ligue 1,MF,MF,31,15.0,1.07,0.13,0.0,1.07,0.13
Jonathan Clauss,Marseille,Ligue 1,DF,DF,30,15.9,1.07,0.06,0.0,1.07,0.06
Elvis Rexhbeçaj,Augsburg,Bundesliga,MF,MF,25,17.8,1.07,0.28,0.0,1.07,0.28
Dominik Szoboszlai,RB Leipzig,Bundesliga,MFFW,MF,22,15.0,1.07,0.07,0.07,1.07,0.21
Martin Valjent,Mallorca,La Liga,DF,DF,27,17.8,1.07,0.39,0.0,1.07,0.39
Iván Balliu,Rayo Vallecano,La Liga,DF,DF,31,19.9,1.06,0.15,0.0,1.06,0.15
Diogo Dalot,Manchester Utd,Premier League,DF,DF,23,14.1,1.06,0.35,0.0,1.06,0.35
Joe Gomez,Liverpool,Premier League,DF,DF,25,12.3,1.06,0.24,0.0,1.06,0.24
Kristijan Jaki?,Eint Frankfurt,Bundesliga,DFMF,DF,25,12.3,1.06,0.08,0.0,1.06,0.08
Gary Medel,Bologna,Serie A,MFDF,MF,35,14.1,1.06,0.35,0.0,1.06,0.35
Óscar Plano,Valladolid,La Liga,FWMF,FW,32,14.2,1.06,0.14,0.0,1.06,0.14
Djibril Sow,Eint Frankfurt,Bundesliga,MF,MF,26,17.0,1.06,0.24,0.0,1.06,0.24
Ashley Young,Aston Villa,Premier League,DF,DF,37,13.2,1.06,0.23,0.0,1.06,0.23
Tyrick Mitchell,Crystal Palace,Premier League,DF,DF,23,16.2,1.05,0.25,0.06,1.05,0.37
Ricardo Rodríguez,Torino,Serie A,DF,DF,30,15.3,1.05,0.0,0.0,1.05,0.0
David Silva,Real Sociedad,La Liga,MF,MF,37,12.4,1.05,0.16,0.0,1.05,0.16
Christopher Trimmel,Union Berlin,Bundesliga,DF,DF,35,13.3,1.05,0.08,0.0,1.05,0.08
Maximilian Arnold,Wolfsburg,Bundesliga,MF,MF,28,19.2,1.04,0.21,0.0,1.04,0.21
Ridle Baku,Wolfsburg,Bundesliga,DF,DF,24,19.2,1.04,0.21,0.0,1.04,0.21
Alejandro Balde,Barcelona,La Liga,DF,DF,19,13.4,1.04,0.15,0.0,1.04,0.15
Philip Billing,Bournemouth,Premier League,MFFW,MF,26,17.3,1.04,0.12,0.0,1.04,0.12
Maximiliano Caufriez,Clermont Foot,Ligue 1,DF,DF,25,15.4,1.04,0.52,0.06,1.04,0.64
Morgan Gibbs-White,Nott'ham Forest,Premier League,MFFW,MF,23,17.3,1.04,0.06,0.0,1.04,0.06
Ardian Ismajli,Empoli,Serie A,DF,DF,26,14.4,1.04,0.14,0.0,1.04,0.14
Matthijs de Ligt,Bayern Munich,Bundesliga,DF,DF,23,13.5,1.04,0.22,0.0,1.04,0.22
Erhan Maovi?,Bochum,Bundesliga,DFMF,DF,24,11.5,1.04,0.09,0.0,1.04,0.09
Mads Pedersen,Augsburg,Bundesliga,DFMF,DF,26,11.5,1.04,0.17,0.0,1.04,0.17
Adam Smith,Bournemouth,Premier League,DF,DF,31,20.1,1.04,0.35,0.0,1.04,0.35
Jordan Zemura,Bournemouth,Premier League,DF,DF,23,13.5,1.04,0.07,0.0,1.04,0.07
Naouirou Ahamada,Stuttgart,Bundesliga,MF,MF,20,15.5,1.03,0.26,0.06,1.03,0.38
Jim Allevinah,Clermont Foot,Ligue 1,DFFW,DF,27,13.6,1.03,0.15,0.0,1.03,0.15
Pablo Fornals,West Ham,Premier League,FWMF,FW,26,10.7,1.03,0.0,0.0,1.03,0.0
Nemanja Mati?,Roma,Serie A,MF,MF,34,13.6,1.03,0.15,0.0,1.03,0.15
Joakim Mæhle,Atalanta,Serie A,DFMF,DF,25,11.7,1.03,0.17,0.09,1.03,0.35
Muhammed Saracevic Cham,Clermont Foot,Ligue 1,MF,MF,22,13.6,1.03,0.15,0.0,1.03,0.15
Adrien Tameze,Hellas Verona,Serie A,MF,MF,29,17.4,1.03,0.11,0.0,1.03,0.11
Mitchel Bakker,Leverkusen,Bundesliga,MFDF,MF,22,10.8,1.02,0.37,0.09,1.02,0.55
Mahdi Camara,Brest,Ligue 1,MF,MF,24,12.8,1.02,0.16,0.0,1.02,0.16
Yannick Carrasco,Atlético Madrid,La Liga,DFMF,DF,29,10.8,1.02,0.09,0.0,1.02,0.09
Mouctar Diakhaby,Valencia,La Liga,DF,DF,26,12.8,1.02,0.47,0.08,1.02,0.63
Sehrou Guirassy,Stuttgart,Bundesliga,FW,FW,26,10.8,1.02,0.28,0.09,1.02,0.46
Christian Günter,Freiburg,Bundesliga,DFMF,DF,29,19.6,1.02,0.2,0.0,1.02,0.2
Sean Longstaff,Newcastle Utd,Premier League,MF,MF,25,18.7,1.02,0.11,0.0,1.02,0.11
Emanuele Valeri,Cremonese,Serie A,DFFW,DF,24,16.6,1.02,0.12,0.0,1.02,0.12
Nikola Vlai?,Torino,Serie A,MFFW,MF,25,20.5,1.02,0.05,0.0,1.02,0.05
Martin Ødegaard,Arsenal,Premier League,MF,MF,24,18.7,1.02,0.16,0.0,1.02,0.16
Emmanuel Agbadou,Reims,Ligue 1,DF,DF,25,17.8,1.01,0.11,0.11,1.01,0.33
Komnen Andri?,Clermont Foot,Ligue 1,FW,FW,27,13.9,1.01,0.22,0.0,1.01,0.22
Ýlkay Gündoðan,Manchester City,Premier League,MF,MF,32,13.9,1.01,0.0,0.0,1.01,0.0
Marcel Halstenberg,RB Leipzig,Bundesliga,DF,DF,31,10.9,1.01,0.09,0.0,1.01,0.09
Pierre Højbjerg,Tottenham,Premier League,MF,MF,27,21.8,1.01,0.09,0.0,1.01,0.09
Paulo Otávio,Wolfsburg,Bundesliga,DF,DF,28,15.8,1.01,0.38,0.0,1.01,0.38
Martin Satriano,Empoli,Serie A,FW,FW,21,13.8,1.01,0.22,0.0,1.01,0.22
Dayot Upamecano,Bayern Munich,Bundesliga,DF,DF,24,18.9,1.01,0.16,0.0,1.01,0.16
Danilo,Juventus,Serie A,DF,DF,31,20.1,1.0,0.15,0.0,1.0,0.15
Jakub Kiwior,Spezia,Serie A,DF,DF,22,16.0,1.0,0.19,0.0,1.0,0.19
Gian Marco Ferrari,Sassuolo,Serie A,DF,DF,30,17.0,1.0,0.29,0.0,1.0,0.29
Arnau Martinez,Girona,La Liga,DF,DF,19,15.0,1.0,0.4,0.0,1.0,0.4
Falaye Sacko,Montpellier,Ligue 1,DF,DF,27,14.0,1.0,0.14,0.0,1.0,0.14
Mërgim Vojvoda,Torino,Serie A,DF,DF,28,11.0,1.0,0.09,0.0,1.0,0.09
Sheraldo Becker,Union Berlin,Bundesliga,FW,FW,28,16.2,0.99,0.06,0.0,0.99,0.06
Domagoj Bradari?,Salernitana,Serie A,DF,DF,23,11.1,0.99,0.36,0.0,0.99,0.36
Edimilson Fernandes,Mainz 05,Bundesliga,DF,DF,26,14.1,0.99,0.21,0.0,0.99,0.21
Maxence Lacroix,Wolfsburg,Bundesliga,DF,DF,22,11.1,0.99,0.0,0.0,0.99,0.0
Youssouf Sabaly,Betis,La Liga,DF,DF,29,11.1,0.99,0.0,0.0,0.99,0.0
Joachim Andersen,Crystal Palace,Premier League,DF,DF,26,16.4,0.98,0.18,0.0,0.98,0.18
Bartosz Bereszy?ski,Sampdoria,Serie A,DF,DF,30,13.3,0.98,0.08,0.0,0.98,0.08
Leandro Cabrera,Espanyol,La Liga,DF,DF,31,18.3,0.98,0.16,0.05,0.98,0.26
Matty Cash,Aston Villa,Premier League,DF,DF,25,13.2,0.98,0.23,0.0,0.98,0.23
Lucas Digne,Aston Villa,Premier League,DF,DF,29,12.3,0.98,0.16,0.0,0.98,0.16
Denzel Dumfries,Inter,Serie A,DF,DF,26,13.3,0.98,0.23,0.0,0.98,0.23
Alexis Flips,Reims,Ligue 1,DFMF,DF,23,11.2,0.98,0.09,0.09,0.98,0.27
Ciro Immobile,Lazio,Serie A,FW,FW,32,13.2,0.98,0.23,0.0,0.98,0.23
Pablo Maffeo,Mallorca,La Liga,DF,DF,25,17.3,0.98,0.23,0.06,0.98,0.35
Lisandro Martínez,Manchester Utd,Premier League,DF,DF,25,17.4,0.98,0.23,0.0,0.98,0.23
Amos Pieper,Werder Bremen,Bundesliga,DF,DF,25,16.3,0.98,0.43,0.0,0.98,0.43
Samuele Ricci,Torino,Serie A,MF,MF,21,13.3,0.98,0.3,0.0,0.98,0.3
Rodrygo,Real Madrid,La Liga,FW,FW,22,13.2,0.98,0.08,0.0,0.98,0.08
Florian Tardieu,Troyes,Ligue 1,MF,MF,30,11.2,0.98,0.18,0.0,0.98,0.18
Omar Colley,Sampdoria,Serie A,DF,DF,30,15.4,0.97,0.32,0.0,0.97,0.32
Arne Maier,Augsburg,Bundesliga,MF,MF,24,10.3,0.97,0.1,0.0,0.97,0.1
Guillermo Maripán,Monaco,Ligue 1,DF,DF,28,16.5,0.97,0.12,0.06,0.97,0.24
Thiago Mendes,Lyon,Ligue 1,DFMF,DF,30,16.5,0.97,0.12,0.0,0.97,0.12
Pere Milla,Elche,La Liga,FWMF,FW,30,13.4,0.97,0.3,0.0,0.97,0.3
Adam Armstrong,Southampton,Premier League,FW,FW,26,11.4,0.96,0.0,0.0,0.96,0.0
Melvin Bard,Nice,Ligue 1,DF,DF,22,16.6,0.96,0.24,0.0,0.96,0.24
Haris Belkebla,Brest,Ligue 1,MF,MF,29,16.6,0.96,0.06,0.0,0.96,0.06
Marius Bülter,Schalke 04,Bundesliga,FWMF,FW,29,16.6,0.96,0.24,0.0,0.96,0.24
Merih Demiral,Atalanta,Serie A,DF,DF,24,13.6,0.96,0.29,0.0,0.96,0.29
Joshua Kimmich,Bayern Munich,Bundesliga,MF,MF,28,17.8,0.96,0.28,0.06,0.96,0.4
Koke,Atlético Madrid,La Liga,MF,MF,31,12.5,0.96,0.24,0.0,0.96,0.24
Jules Koundé,Barcelona,La Liga,DF,DF,24,11.5,0.96,0.0,0.0,0.96,0.0
Vitaliy Mykolenko,Everton,Premier League,DFMF,DF,23,19.8,0.96,0.15,0.0,0.96,0.15
Fabiano Parisi,Empoli,Serie A,DF,DF,22,18.8,0.96,0.27,0.05,0.96,0.37
Marvin Plattenhardt,Hertha BSC,Bundesliga,DF,DF,31,13.6,0.96,0.15,0.0,0.96,0.15
Alessio Romagnoli,Lazio,Serie A,DF,DF,28,19.7,0.96,0.05,0.0,0.96,0.05
Enzo Tchato,Montpellier,Ligue 1,DF,DF,20,10.4,0.96,0.1,0.0,0.96,0.1
Kyle Walker-Peters,Southampton,Premier League,DF,DF,25,15.6,0.96,0.13,0.0,0.96,0.13
Andre-Frank Zambo Anguissa,Napoli,Serie A,MF,MF,27,17.7,0.96,0.11,0.0,0.96,0.11
Waldemar Anton,Stuttgart,Bundesliga,DF,DF,26,19.9,0.95,0.15,0.0,0.95,0.15
Ramy Bensebaini,M'Gladbach,Bundesliga,DF,DF,27,17.9,0.95,0.17,0.0,0.95,0.17
Giacomo Bonaventura,Fiorentina,Serie A,MF,MF,33,14.8,0.95,0.2,0.0,0.95,0.2
Benjamin Bourigeaud,Rennes,Ligue 1,MFFW,MF,29,18.9,0.95,0.21,0.05,0.95,0.31
Alexander Djiku,Strasbourg,Ligue 1,DF,DF,28,20.0,0.95,0.1,0.0,0.95,0.1
Gedeon Kalulu,Lorient,Ligue 1,DF,DF,25,19.0,0.95,0.21,0.0,0.95,0.21
Yoann Salmier,Troyes,Ligue 1,DF,DF,30,18.9,0.95,0.21,0.05,0.95,0.31
James Tarkowski,Everton,Premier League,DF,DF,30,21.0,0.95,0.19,0.0,0.95,0.19
James Ward-Prowse,Southampton,Premier League,MF,MF,28,22.0,0.95,0.14,0.0,0.95,0.14
Patrick Ciurria,Monza,Serie A,DFMF,DF,28,13.8,0.94,0.14,0.0,0.94,0.14
Wout Faes,Leicester City,Premier League,DF,DF,24,16.0,0.94,0.13,0.0,0.94,0.13
Miguel Gutiérrez,Girona,La Liga,DF,DF,21,17.0,0.94,0.29,0.0,0.94,0.29
Mats Hummels,Dortmund,Bundesliga,DF,DF,34,12.8,0.94,0.31,0.0,0.94,0.31
Harrison Reed,Fulham,Premier League,MF,MF,28,20.2,0.94,0.25,0.0,0.94,0.25
Marcos Senesi,Bournemouth,Premier League,DF,DF,25,15.9,0.94,0.13,0.0,0.94,0.13
Duan Vlahovi?,Juventus,Serie A,FW,FW,23,10.6,0.94,0.0,0.0,0.94,0.0
Laurent Abergel,Lorient,Ligue 1,MF,MF,30,12.9,0.93,0.16,0.0,0.93,0.16
Branco van den Boomen,Toulouse,Ligue 1,MF,MF,27,21.4,0.93,0.19,0.0,0.93,0.19
Tiago Djaló,Lille,Ligue 1,DF,DF,22,19.3,0.93,0.31,0.0,0.93,0.31
Federico Fazio,Salernitana,Serie A,DF,DF,35,11.8,0.93,0.17,0.08,0.93,0.33
Massadio Haïdara,Lens,Ligue 1,DFMF,DF,30,11.8,0.93,0.25,0.0,0.93,0.25
Valentino Lazaro,Torino,Serie A,DF,DF,26,11.8,0.93,0.34,0.0,0.93,0.34
Mário Rui,Napoli,Serie A,DF,DF,31,15.1,0.93,0.13,0.0,0.93,0.13
Dan Burn,Newcastle Utd,Premier League,DF,DF,30,20.6,0.92,0.1,0.0,0.92,0.1
João Cancelo,Manchester City,Premier League,DF,DF,28,14.2,0.92,0.21,0.07,0.92,0.35
Dani Carvajal,Real Madrid,La Liga,DF,DF,31,12.0,0.92,0.25,0.0,0.92,0.25
Carlos Clerc,Elche,La Liga,DFMF,DF,30,13.0,0.92,0.08,0.0,0.92,0.08
Cristian Gamboa,Bochum,Bundesliga,DF,DF,33,14.1,0.92,0.14,0.0,0.92,0.14
Benjamin Pavard,Bayern Munich,Bundesliga,DF,DF,26,15.3,0.92,0.13,0.0,0.92,0.13
Edmond Tapsoba,Leverkusen,Bundesliga,DF,DF,24,19.6,0.92,0.15,0.0,0.92,0.15
Manuel Akanji,Manchester City,Premier League,DF,DF,27,14.3,0.91,0.07,0.0,0.91,0.07
Federico Baschirotto,Lecce,Serie A,DF,DF,26,22.0,0.91,0.18,0.0,0.91,0.18
Jefferson Lerma,Bournemouth,Premier League,MFDF,MF,28,21.9,0.91,0.14,0.0,0.91,0.14
Stanley N'Soki,Hoffenheim,Bundesliga,DF,DF,23,12.1,0.91,0.08,0.0,0.91,0.08
Folarin Balogun,Reims,Ligue 1,FW,FW,21,17.7,0.9,0.17,0.0,0.9,0.17
Jean-Ricner Bellegarde,Strasbourg,Ligue 1,MF,MF,24,17.7,0.9,0.17,0.0,0.9,0.17
Rémy Cabella,Lille,Ligue 1,MFFW,MF,32,13.3,0.9,0.15,0.0,0.9,0.15
Davide Calabria,Milan,Serie A,DF,DF,26,11.1,0.9,0.36,0.0,0.9,0.36
Kevin De Bruyne,Manchester City,Premier League,MF,MF,31,17.8,0.9,0.06,0.0,0.9,0.06
Frenkie de Jong,Barcelona,La Liga,MF,MF,25,14.5,0.9,0.0,0.0,0.9,0.0
Gaëtan Laborde,Nice,Ligue 1,FW,FW,28,15.5,0.9,0.0,0.0,0.9,0.0
Ademola Lookman,Atalanta,Serie A,FWMF,FW,25,14.4,0.9,0.14,0.0,0.9,0.14
Linton Maina,Köln,Bundesliga,FWMF,FW,23,12.2,0.9,0.0,0.0,0.9,0.0
Óliver Torres,Sevilla,La Liga,MFFW,MF,28,15.6,0.9,0.06,0.0,0.9,0.06
Adrien Truffert,Rennes,Ligue 1,DF,DF,21,17.7,0.9,0.06,0.0,0.9,0.06
Cristiano Biraghi,Fiorentina,Serie A,DF,DF,30,18.0,0.89,0.0,0.0,0.89,0.0
Enzo Ebosse,Udinese,Serie A,DF,DF,23,10.1,0.89,0.3,0.0,0.89,0.3
Serge Gnabry,Bayern Munich,Bundesliga,FWMF,FW,27,12.3,0.89,0.0,0.0,0.89,0.0
Joko Gvardiol,RB Leipzig,Bundesliga,DF,DF,21,13.5,0.89,0.07,0.0,0.89,0.07
Vitaly Janelt,Brentford,Premier League,MFDF,MF,24,15.8,0.89,0.06,0.0,0.89,0.06
Maxime Lopez,Sassuolo,Serie A,MF,MF,25,12.4,0.89,0.48,0.0,0.89,0.48
Arnaud Nordin,Montpellier,Ligue 1,FWMF,FW,24,12.4,0.89,0.16,0.0,0.89,0.16
Riad Nouri,Ajaccio,Ligue 1,MF,MF,37,13.5,0.89,0.22,0.0,0.89,0.22
Unai Núñez,Celta Vigo,La Liga,DF,DF,26,19.0,0.89,0.26,0.0,0.89,0.26
Martin Erlic,Sassuolo,Serie A,DF,DF,25,13.6,0.88,0.15,0.0,0.88,0.15
Malo Gusto,Lyon,Ligue 1,DF,DF,19,16.0,0.88,0.06,0.0,0.88,0.06
Azzedine Ounahi,Angers,Ligue 1,MFFW,MF,22,12.5,0.88,0.08,0.0,0.88,0.08
Leroy Sané,Bayern Munich,Bundesliga,MFFW,MF,27,13.6,0.88,0.29,0.0,0.88,0.29
Matteo Bianchetti,Cremonese,Serie A,DF,DF,29,13.8,0.87,0.07,0.0,0.87,0.07
Lilian Brassier,Brest,Ligue 1,DF,DF,23,18.4,0.87,0.16,0.0,0.87,0.16
